Type,Word,Frequency
명사,Bedeutung,5
명사,Licht,5
명사,Pass,5
명사,Gepäck,5
명사,Fernseher,5
명사,Stelle,5
명사,Glas,5
명사,Erfolg,5
명사,Schiff,5
명사,Anzeige,5
명사,Büro,5
명사,Setze,5
명사,Bürger,5
명사,Kundin,5
명사,Zahn,5
명사,Folge,5
명사,Tier,5
명사,Luft,5
명사,Absicht,5
명사,Kunde,5
명사,Bekannte,5
명사,Obst,5
명사,Farbe,5
명사,Käse,5
명사,Ergänzen,5
명사,Haustür,5
명사,Handy,5
명사,Gib,5
명사,Euro,5
명사,Ankunft,5
명사,Zentrum,5
명사,Bevölkerung,5
명사,Prädikatsteil,5
명사,Küche,5
명사,Frühstück,5
명사,Sonntag,5
명사,Gesundheit,5
명사,Schloss,5
명사,Dame,5
명사,Angst,5
명사,Konditionalsatz,5
명사,Art,5
명사,Praktikum,5
명사,Job,5
명사,Samstag,5
명사,Kasus,5
명사,Niveau,4
명사,Vorwort,4
명사,Präsen,4
명사,Trennbar,4
명사,Konzessivsätze,4
명사,Modalsatz,4
명사,Punkt,4
명사,Hinweis,4
명사,Wortschatz,4
명사,Januar,4
명사,Stammformen,4
명사,Rat,4
명사,Leben,4
명사,Lücke,4
명사,Fernsehen,4
명사,Rad,4
명사,Brötchen,4
명사,Post,4
명사,Sommer,4
명사,Lehrerin,4
명사,Politiker,4
명사,Präsident,4
명사,Aussagesätz,4
명사,Restaurant,4
명사,Prädikate,4
명사,Bitte,4
명사,Eis,4
명사,Keller,4
명사,Radfahrer,4
명사,Tomate,4
명사,Fußball,4
명사,Stock,4
명사,Feuer,4
명사,Abendessen,4
명사,Hunger,4
명사,Lied,4
명사,Portemonnaie,4
명사,Winter,4
명사,Glück,4
명사,Stadtzentrum,4
명사,Wald,4
명사,Bau,4
명사,Korb,4
명사,Denfilm,4
명사,Ersatzinfinitiv,4
명사,Plusquamperfekt,4
명사,Märchen,4
명사,Französisch,4
명사,Passivsatz,4
명사,Autofahrer,4
명사,Heizung,4
명사,Aktiv,4
명사,Butter,4
명사,Möglichkeit,4
명사,Beantworten,4
명사,Angestellter,4
명사,Original,4
명사,Fotokopie,4
명사,Waschmaschine,4
명사,Artikelwörter,4
명사,Gemüse,4
명사,Teppich,4
명사,Möbel,4
명사,Ruhe,4
명사,Spanisch,4
